YEAR,MO,DY,HR,ALLSKY_SFC_UVA,RH2M,PRECTOTCORR,T2M,Rancha
2024,2,7,4,0,93.81,0,4.51,0
2024,2,7,5,0,94.62,0,4.35,0
2024,2,7,6,3.14,89.56,0,4.83,0
2024,2,7,7,11.77,78.38,0.22,6.51,0
2024,2,7,8,24.93,68.31,0.21,8.63,0
2024,2,7,9,37.76,59.69,0.21,10.69,0
2024,2,7,10,49.66,57.56,0.23,11.44,0
2024,2,7,11,47.66,59.75,0.26,11.01,0
2024,2,7,12,49.74,62.75,0.29,10.19,0
2024,2,7,13,45.48,64,0.31,9.77,0
2024,2,7,14,36.85,66.31,0.32,9.15,0
2024,2,7,15,30.23,67.88,0.33,8.76,0
2024,2,7,16,20.17,69.56,0.32,8.52,0
2024,2,7,17,9.38,75.69,0.32,7.67,0
2024,2,7,18,0.72,84.94,0.3,6.67,0
2024,2,7,19,0,90.44,0.26,6.23,0
2024,2,7,20,0,93.06,0.22,6.03,0
2024,2,7,21,0,94.75,0.17,5.75,0
2024,2,7,22,0,96.19,0.15,5.31,0
2024,2,7,23,0,96.75,0.13,5.13,0
2024,2,8,0,0,97.25,0.1,4.98,0
2024,2,8,1,0,97,0.09,4.95,0
2024,2,8,2,0,97.06,0.12,4.78,0
2024,2,8,3,0,96.94,0.15,4.68,0
2024,2,8,4,0,97.31,0.16,4.47,0
2024,2,8,5,0,98.19,0.14,4.16,0
2024,2,8,6,3.23,92.38,0.13,5.2,0
2024,2,8,7,13.35,79.25,0,7.4,0
2024,2,8,8,26.23,61.88,0,10.4,0
2024,2,8,9,34.84,48.81,0,13.08,0
2024,2,8,10,51.18,43.06,0,14.86,0
2024,2,8,11,59.43,41,0,15.86,0
2024,2,8,12,62.59,40.69,0,16.19,0
2024,2,8,13,54.59,43.38,0,15.65,0
2024,2,8,14,31.37,52.31,0,13.53,0
2024,2,8,15,22.62,67.06,0,10.16,0
2024,2,8,16,13.49,76.44,0,7.94,0
2024,2,8,17,4.92,86.12,0,4.79,0
2024,2,8,18,0.47,86.31,0,3.79,0
2024,2,8,19,0,87.81,0,2.83,0
2024,2,8,20,0,86.94,0,2.48,0
2024,2,8,21,0,87.38,0,2.24,0
2024,2,8,22,0,87.5,0,2.05,0
2024,2,8,23,0,87.06,0,1.97,0
2024,2,9,0,0,87.69,0,1.7,0
2024,2,9,1,0,86.75,0,1.56,0
2024,2,9,2,0,84.75,0,1.64,0
2024,2,9,3,0,82.94,0,1.71,0
2024,2,9,4,0,82.94,0,1.53,0
2024,2,9,5,0,82.56,0,1.23,0
2024,2,9,6,2.99,70.19,0,3.01,0
2024,2,9,7,14.09,49.62,0,6.99,0
2024,2,9,8,29.2,39.06,0,10.54,0
2024,2,9,9,41.89,35.88,0,12.6,0
2024,2,9,10,46.15,34.62,0,13.82,0
2024,2,9,11,47.95,34.81,0,14.38,0
2024,2,9,12,42.74,35.88,0,14.57,0
2024,2,9,13,39.09,37.88,0.01,14.33,0
2024,2,9,14,34.53,42.44,0.01,13.28,0
2024,2,9,15,21.73,48.75,0.01,11.76,0
2024,2,9,16,13.05,54,0.01,10.51,0
2024,2,9,17,5.9,60.62,0.01,9.01,0
2024,2,9,18,0.52,75.56,0,5.69,0
2024,2,9,19,0,82.69,0.01,4.26,0
2024,2,9,20,0,85,0.01,3.71,0
2024,2,9,21,0,86.44,0.01,3.31,0
2024,2,9,22,0,87.25,0.01,3.19,0
2024,2,9,23,0,87.75,0,3.25,0
2024,2,10,0,0,88.25,0,3.28,0
2024,2,10,1,0,88.5,0,3.28,0
2024,2,10,2,0,89.5,0,3.19,0
2024,2,10,3,0,90.81,0,3.1,0
2024,2,10,4,0,91.88,0,3.1,0
2024,2,10,5,0,93.12,0,3.05,0
2024,2,10,6,3.44,86.62,0,4.55,0
2024,2,10,7,17.69,74.56,0,7.7,0
2024,2,10,8,36.62,61.12,0,10.26,0
2024,2,10,9,50.15,50,0,12.16,0
2024,2,10,10,63.91,43.69,0,13.43,0
2024,2,10,11,62.84,40.44,0,14.21,0
2024,2,10,12,62.14,39.5,0,14.59,0
2024,2,10,13,51.91,41.06,0,14.32,0
2024,2,10,14,33.04,46.19,0,13.25,0
2024,2,10,15,21.23,53.19,0,11.87,0
2024,2,10,16,12.18,60.94,0,10.39,0
2024,2,10,17,4.8,69.75,0,8.78,0
2024,2,10,18,0.52,77.81,0,7.23,0
2024,2,10,19,0,83.69,0,5.38,0
2024,2,10,20,0,86.94,0,3.68,0
2024,2,10,21,0,86.19,0,3.49,0
2024,2,10,22,0,85.38,0,3.62,0
2024,2,10,23,0,87.5,0,3.11,0
2024,2,11,0,0,87.12,0,2.37,0
2024,2,11,1,0,85.69,0,2.15,0
2024,2,11,2,0,83.75,0,2.19,0
2024,2,11,3,0,84.25,0,1.83,0
2024,2,11,4,0,84.75,0,1.38,0
2024,2,11,5,0,83.12,0,1.26,0
2024,2,11,6,3.5,71.31,0,3.01,0
2024,2,11,7,18.23,48.56,0,7.34,0
2024,2,11,8,38.3,36.5,0,11.64,0
2024,2,11,9,50.24,32.69,0,14.51,0
2024,2,11,10,57.13,30.69,0,16.65,0
2024,2,11,11,53.5,29.94,0,17.92,0
2024,2,11,12,54.31,30.88,0,18.4,0
2024,2,11,13,43.16,33.94,0,17.95,0
2024,2,11,14,41.36,39.81,0,16.56,0
2024,2,11,15,32.86,48.81,0,14.37,0
2024,2,11,16,18.27,60.31,0,11.94,0
2024,2,11,17,6.65,71.81,0,9.87,0
2024,2,11,18,0.44,81.75,0,8.26,0
2024,2,11,19,0,85.31,0,7.58,0
2024,2,11,20,0,88.62,0,6.74,0
2024,2,11,21,0,90.06,0,6.15,0
2024,2,11,22,0,89.81,0,6.05,0
2024,2,11,23,0,90.69,0,5.83,0
2024,2,12,0,0,92.19,0,5.51,0
2024,2,12,1,0,92.62,0,5.24,0
2024,2,12,2,0,93.25,0,5.03,0
2024,2,12,3,0,94.25,0,4.8,0
2024,2,12,4,0,94.5,0,4.67,0
2024,2,12,5,0,94.75,0,4.62,0
2024,2,12,6,2.25,89.38,0,5.62,0
2024,2,12,7,10.74,79.94,0.12,7.74,0
2024,2,12,8,22.36,68.75,0.12,10.43,0
2024,2,12,9,31.62,60,0.13,12.37,0
2024,2,12,10,47.41,56.38,0.15,13.37,0
2024,2,12,11,55.99,54.88,0.18,13.8,0
2024,2,12,12,60.73,54.44,0.19,13.91,0
2024,2,12,13,56.62,56.25,0.18,13.48,0
2024,2,12,14,45.63,63.12,0.2,11.64,0
2024,2,12,15,33.84,71.94,0.22,9.51,0
2024,2,12,16,18.69,80.5,0.25,7.62,0
2024,2,12,17,6.91,87.19,0.29,6.16,0
2024,2,12,18,0.41,91,0.37,5.06,0
2024,2,12,19,0,90.5,0.48,4.48,0
2024,2,12,20,0,89.69,0.61,3.98,0
2024,2,12,21,0,89.75,0.57,3.61,0
2024,2,12,22,0,91.06,0.37,2.99,0
2024,2,12,23,0,90.44,0.27,2.88,0
2024,2,13,0,0,91.06,0.19,2.8,0
2024,2,13,1,0,91.94,0.16,2.88,0
2024,2,13,2,0,92.75,0.15,3.05,0
2024,2,13,3,0,93.38,0.14,3.26,0
2024,2,13,4,0,94.56,0.1,3.5,0
2024,2,13,5,0,96.62,0.07,3.54,0
2024,2,13,6,2.34,93.38,0.05,4.83,0
2024,2,13,7,9.52,83.12,0.02,7.41,0
2024,2,13,8,23.93,68.12,0.02,10.27,0
2024,2,13,9,32.66,53.75,0.02,13.27,0
2024,2,13,10,41.91,45.94,0.03,15.4,0
2024,2,13,11,46.47,42.75,0.06,16.4,0
2024,2,13,12,47.05,42.94,0.09,16.62,0
2024,2,13,13,46.68,45.12,0.12,16.29,0
2024,2,13,14,36.27,48,0.14,15.62,0
2024,2,13,15,23.68,56,0.16,13.84,0
2024,2,13,16,11.78,66.06,0.17,11.85,0
2024,2,13,17,4.25,76.81,0.17,9.98,0
2024,2,13,18,0.47,86.19,0.18,8.58,0
2024,2,13,19,0,89.69,0.21,7.95,0
2024,2,13,20,0,90.88,0.28,7.4,0
2024,2,13,21,0,94.12,0.36,6.34,0
2024,2,13,22,0,94.12,0.4,5.93,0
2024,2,13,23,0,95,0.39,5.71,0
2024,2,14,0,0,95.88,0.34,5.56,0
2024,2,14,1,0,95.56,0.26,5.34,0
2024,2,14,2,0,95.25,0.17,5.26,0
2024,2,14,3,0,96.19,0.1,5.05,0
2024,2,14,4,0,97,0.06,4.79,0
2024,2,14,5,0,98.06,0.05,4.44,0
2024,2,14,6,2.18,92.88,0.04,5.39,0
2024,2,14,7,10.73,82.69,0.04,7.28,0
2024,2,14,8,19.93,69.5,0.05,9.8,0
2024,2,14,9,26.66,56.88,0.06,12.55,0
2024,2,14,10,35.52,49.25,0.07,14.61,0
2024,2,14,11,43.59,47.44,0.08,15.29,0
2024,2,14,12,41.86,49.06,0.1,15.02,0
2024,2,14,13,32.73,54.44,0.12,13.83,0
2024,2,14,14,24.48,61.88,0.13,12.27,0
2024,2,14,15,22.86,69.31,0.14,10.87,0
2024,2,14,16,13.26,76.06,0.12,9.68,0
2024,2,14,17,6.43,82.44,0.12,8.66,0
2024,2,14,18,0.55,88.56,0.13,7.85,0
2024,2,14,19,0,90.94,0.15,7.54,0
2024,2,14,20,0,92.44,0.16,7.3,0
2024,2,14,21,0,93.94,0.14,6.85,0
2024,2,14,22,0,94.94,0.12,6.4,0
2024,2,14,23,0,95.75,0.1,5.92,0
2024,2,15,0,0,95.81,0.08,5.53,0.66
2024,2,15,1,0,95.62,0.07,5.24,0.66
2024,2,15,2,0,95.69,0.06,4.95,0.66
2024,2,15,3,0,96,0.05,4.71,0.66
2024,2,15,4,0,96.81,0.04,4.44,0.66
2024,2,15,5,0,97.69,0.03,4.17,0.66
2024,2,15,6,2.55,92.88,0.02,5.17,0.66
2024,2,15,7,9.67,82.69,0,7.12,0.66
2024,2,15,8,20.5,67.62,0,9.86,0.66
2024,2,15,9,32.63,53.5,0,13.04,0.66
2024,2,15,10,40.33,45.75,0,15.4,0.66
2024,2,15,11,46.62,41.38,0,16.83,0.66
2024,2,15,12,50.15,40.5,0,17.31,0.66
2024,2,15,13,44.08,42.38,0,16.88,0.66
2024,2,15,14,35.48,46.38,0,15.73,0.66
2024,2,15,15,25.63,53.31,0,14.04,0.66
2024,2,15,16,15.38,61.62,0,12.22,0.66
2024,2,15,17,6.8,71.88,0,10.26,0.66
2024,2,15,18,0.5,81.12,0,8.83,0.66
2024,2,15,19,0,85.88,0,8.17,0.66
2024,2,15,20,0,89.25,0,7.69,0.66
2024,2,15,21,0,91.69,0,7.4,0.66
2024,2,15,22,0,93.12,0,7.15,0.66
2024,2,15,23,0,94.44,0,6.86,0.66
2024,2,16,0,0,95.5,0,6.58,0.66
2024,2,16,1,0,96.81,0,6.28,0.66
2024,2,16,2,0,97.94,0,5.9,0.66
2024,2,16,3,0,97.75,0,5.66,0.66
2024,2,16,4,0,97.5,0,5.36,0.66
2024,2,16,5,0,97.5,0,4.98,0.66
2024,2,16,6,2.82,88.62,0,6.08,0.66
2024,2,16,7,13.91,71,0,8.73,0.66
2024,2,16,8,27.21,56.12,0,11.84,0.66
2024,2,16,9,37.34,47.31,0,14.26,0.66
2024,2,16,10,51.34,42.5,0,15.9,0.66
2024,2,16,11,53.12,39.75,0.01,16.98,0.66
2024,2,16,12,51.55,38.69,0.01,17.4,0.66
2024,2,16,13,41.36,40.75,0.01,16.58,0.66
2024,2,16,14,37.41,44.44,0.01,15.5,0.66
2024,2,16,15,31.07,51,0.01,13.9,0.66
2024,2,16,16,18.98,61,0.01,11.92,0.66
2024,2,16,17,7.12,71.62,0.01,10.13,0.66
2024,2,16,18,0.53,81.38,0.01,8.87,0.66
2024,2,16,19,0,86.5,0.01,8.46,0.66
2024,2,16,20,0,89.25,0.01,8.29,0.66
2024,2,16,21,0,90.81,0.01,8.19,0.66
2024,2,16,22,0,92.06,0.01,8.05,0.66
2024,2,16,23,0,93.19,0,7.8,0.66
2024,2,17,0,0,93.38,0,7.55,0.66
2024,2,17,1,0,93.88,0,7.19,0.66
2024,2,17,2,0,93.56,0,6.72,0.66
2024,2,17,3,0,93.5,0,6.33,0.66
2024,2,17,4,0,93.5,0,6.06,0.66
2024,2,17,5,0,94.44,0,5.74,0.66
2024,2,17,6,3.15,90.5,0,6.38,0.66
2024,2,17,7,14.29,77.94,0,8.48,0.66
2024,2,17,8,29.87,62.69,0,11.12,0.66
2024,2,17,9,38.7,50.56,0,13.78,0.66
2024,2,17,10,46.68,43.62,0,15.81,0.66
2024,2,17,11,50.08,40.56,0,17.07,0.66
2024,2,17,12,42.33,40.25,0.01,17.48,0.66
2024,2,17,13,29.86,48.5,0.01,15.3,0.66
2024,2,17,14,30.25,64,0.01,11.48,0.66
2024,2,17,15,23.28,77.19,0.01,7.75,0.66
2024,2,17,16,14.8,84.5,0.01,5.52,0.66
2024,2,17,17,5.4,88,0.01,3.9,0.66
2024,2,17,18,0.33,89.62,0,3.06,0.66
2024,2,17,19,0,87.44,0,3.33,0.66
2024,2,17,20,0,86.19,0,4.08,0.66
2024,2,17,21,0,86.94,0,4.86,0.66
2024,2,17,22,0,88.75,0,5.12,0.66
2024,2,17,23,0,90.94,0,4.97,0.66
2024,2,18,0,0,92.31,0,4.71,0.66
2024,2,18,1,0,93.12,0,4.48,0.66
2024,2,18,2,0,92.69,0,4.42,0.66
2024,2,18,3,0,92.38,0,4.56,0.66
2024,2,18,4,0,93.69,0,4.65,0.66
2024,2,18,5,0,95.94,0,4.69,0.66
2024,2,18,6,3.07,91.19,0,5.94,0.66
2024,2,18,7,14.47,81.56,0.07,8.34,0.66
2024,2,18,8,31.78,71.31,0.1,10.47,0.66
2024,2,18,9,44.05,63.44,0.14,11.93,0.66
2024,2,18,10,52.48,57.44,0.18,12.85,0.66
2024,2,18,11,55.28,55.19,0.23,13.12,0.66
2024,2,18,12,54.59,54.88,0.28,13,0.66
2024,2,18,13,51.02,54.88,0.34,12.82,0.66
2024,2,18,14,42.15,55.56,0.4,12.51,0.66
2024,2,18,15,30.62,58.38,0.42,11.77,0.66
2024,2,18,16,17.14,64.19,0.36,10.59,0.66
2024,2,18,17,6.27,72.69,0.26,9.14,0.66
2024,2,18,18,0.44,82.31,0.18,7.9,0.66
2024,2,18,19,0,87.94,0.13,7.4,0.66
2024,2,18,20,0,91.56,0.08,7.15,0.66
2024,2,18,21,0,93.62,0.03,6.87,0.66
2024,2,18,22,0,93.62,0.02,6.57,0.66
2024,2,18,23,0,94.31,0.03,6,0.66
2024,2,19,0,0,95.88,0.06,5.22,0.66
2024,2,19,1,0,95.81,0.08,4.92,0.66
2024,2,19,2,0,95.5,0.1,4.76,0.66
2024,2,19,3,0,95.38,0.11,4.48,0.66
2024,2,19,4,0,94.75,0.11,4.31,0.66
2024,2,19,5,0,93.88,0.13,4.09,0.66
2024,2,19,6,1.76,91.56,0.13,4.23,0.66
2024,2,19,7,7.15,83.94,0,5.9,0.66
2024,2,19,8,17.84,68.88,0,8.98,0.66
2024,2,19,9,29.59,54.12,0,12.05,0.66
2024,2,19,10,46.35,47,0,14.01,0.66
2024,2,19,11,50.02,45.25,0,14.94,0.66
2024,2,19,12,50.44,47.44,0,14.69,0.66
2024,2,19,13,45.28,52.88,0,13.57,0.66
2024,2,19,14,31.84,59.69,0,12.2,0.66
2024,2,19,15,19.07,66.25,0,10.87,0.66
2024,2,19,16,10.14,73.12,0,9.33,0.66
2024,2,19,17,3.95,82,0,7.12,0.66
2024,2,19,18,0.33,89.62,0,4.2,0.66
2024,2,19,19,0,87.12,0,3.95,0.66
2024,2,19,20,0,89,0,3.13,0.66
2024,2,19,21,0,88.62,0,2.62,0.66
2024,2,19,22,0,89.81,0,2.09,0.66
2024,2,19,23,0,88.06,0,2.48,0.66
2024,2,20,0,0,86.69,0,2.96,0.66
2024,2,20,1,0,86.56,0,3.1,0.66
2024,2,20,2,0,86.81,0,3.08,0.66
2024,2,20,3,0,86.56,0,3.1,0.66
2024,2,20,4,0,87.31,0,2.91,0.66
2024,2,20,5,0,87.62,0,2.5,0.66
2024,2,20,6,2.37,85.06,0,2.44,0.66
2024,2,20,7,12.6,75.88,0,3.83,0.66
2024,2,20,8,25.73,64.25,0,6.18,0.66
2024,2,20,9,40.76,50.19,0,9.55,0.66
2024,2,20,10,52.05,39.44,0,12.83,0.66
2024,2,20,11,56.14,32.69,0,15.63,0.66
2024,2,20,12,56.36,30.06,0,17.42,0.66
2024,2,20,13,46.96,30.94,0,17.81,0.66
2024,2,20,14,31.47,35.25,0,16.66,0.66
2024,2,20,15,20.91,41.75,0,14.89,0.66
2024,2,20,16,11.12,50,0,12.79,0.66
2024,2,20,17,4.57,59.56,0,10.57,0.66
2024,2,20,18,0.36,68.69,0,8.79,0.66
2024,2,20,19,0,73.5,0,7.98,0.66
2024,2,20,20,0,82,0,6.58,0.66
2024,2,20,21,0,86.19,0,5.4,0.66
2024,2,20,22,0,89.56,0,4.51,0.66
2024,2,20,23,0,92.69,0,3.62,0.66
2024,2,21,0,0,93.81,0,2.78,0.33
2024,2,21,1,0,93.25,0,2.18,0.33
2024,2,21,2,0,93.19,0,1.7,0.33
2024,2,21,3,0,92.94,0,1.33,0.33
2024,2,21,4,0,92.81,0,0.89,0.33
2024,2,21,5,0,93.38,0,0.3,0.33
2024,2,21,6,1.74,82.56,0,1.63,0.33
2024,2,21,7,9.82,55.25,0,5.62,0.33
2024,2,21,8,21.4,34.75,0,9.96,0.33
2024,2,21,9,38.41,25.94,0,13.4,0.33
2024,2,21,10,49.96,21.94,0,16,0.33
2024,2,21,11,62.09,20.5,0,17.76,0.33
2024,2,21,12,59.77,20.44,0,18.8,0.33
2024,2,21,13,55.55,21.5,0,19.07,0.33
2024,2,21,14,44.45,24.06,0,18.49,0.33
2024,2,21,15,31.23,28.56,0,17.01,0.33
2024,2,21,16,18.1,35.81,0,14.73,0.33
2024,2,21,17,6.39,46.38,0,11.93,0.33
2024,2,21,18,0.44,68,0,9.23,0.33
2024,2,21,19,0,73.56,0,8.19,0.33
2024,2,21,20,0,75.56,0,7.55,0.33
2024,2,21,21,0,78.25,0,6.83,0.33
2024,2,21,22,0,80.75,0,6.18,0.33
2024,2,21,23,0,82.31,0,5.65,0.33
2024,2,22,0,0,82.19,0,5.25,0
2024,2,22,1,0,82.31,0,4.75,0
2024,2,22,2,0,84.44,0,4.09,0
2024,2,22,3,0,84.56,0,3.69,0
2024,2,22,4,0,84.38,0,3.08,0
2024,2,22,5,0,83.62,0,2.48,0
2024,2,22,6,2.6,76.69,0,2.86,0
2024,2,22,7,14.38,58.25,0,4.91,0
2024,2,22,8,28.4,35.62,0,8.8,0
2024,2,22,9,42.84,25.62,0,12.28,0
2024,2,22,10,55.7,22.44,0,14.58,0
2024,2,22,11,63.41,21.38,0,16.19,0
2024,2,22,12,64.23,20.88,0,17.51,0
2024,2,22,13,61.01,21.19,0,18.33,0
2024,2,22,14,49.77,22.81,0,18.4,0
2024,2,22,15,35.87,26.75,0,17.3,0
2024,2,22,16,20.55,34.31,0,15.06,0
2024,2,22,17,7.58,45.81,0,12.18,0
2024,2,22,18,0.45,64.75,0,9.48,0
2024,2,22,19,0,74.62,0,8.3,0
2024,2,22,20,0,75.5,0,7.72,0
2024,2,22,21,0,78.69,0,7.09,0
2024,2,22,22,0,83.12,0,6.39,0
2024,2,22,23,0,87.31,0,5.7,0
2024,2,23,0,0,89.25,0,5.08,0
2024,2,23,1,0,89.31,0,4.4,0
2024,2,23,2,0,89.5,0,3.64,0
2024,2,23,3,0,90.06,0,3.01,0
2024,2,23,4,0,87.62,0,3.16,0
2024,2,23,5,0,87.19,0,3.1,0
2024,2,23,6,2.68,86.25,0,3.15,0
2024,2,23,7,13.39,83.5,1.06,3.65,0
2024,2,23,8,28.42,81.12,0.74,4.45,0
2024,2,23,9,37.7,74.69,0.58,6.48,0
2024,2,23,10,44.66,68.25,0.47,8.61,0
2024,2,23,11,54.39,61.88,0.38,10.4,0
2024,2,23,12,53.43,59.31,0.32,11.32,0
2024,2,23,13,50.48,60.69,0.31,11.26,0
2024,2,23,14,46.21,64.56,0.33,10.52,0
2024,2,23,15,33.19,70.25,0.34,9.43,0
